"x" "y" "z"
-194.042242 0.22189 30.195476
-203.3229 1.928557 20.081308
-200.250107 3.588368 23.93247
-205.875337 3.577224 14.820966
-193.173936 9.531855 29.667388
-206.59246 4.75142 12.235078
-198.129293 10.86247 24.376122
-194.702247 14.418339 26.538214
-203.747996 9.776161 16.514514
-200.10612 16.358458 18.085368
-206.222586 8.914028 9.060891
-202.389239 15.861963 13.517832
-202.133837 17.367571 11.519027
-205.724268 11.479502 7.337062
-201.421105 19.561664 7.269992
-206.709878 7.365864 2.367553
-199.034942 22.445089 4.707599
-203.694193 15.384931 2.840173
-193.515463 27.76178 2.680117
-200.403542 19.64446 0.57813
-195.410612 24.852012 -0.931626
-204.117985 12.188004 -1.347803
-197.571956 21.363086 -4.072653
-201.958079 14.233 -4.559744
-191.429766 24.904573 -8.453211
-198.931069 16.662231 -7.571701
-189.887635 23.534816 -11.797388
-199.515239 12.180061 -10.218147
-191.076771 19.686332 -14.75795
-203.945418 5.828842 -7.000251
-181.308969 18.07534 -23.911023
-198.161545 9.702048 -13.50687
-207.376255 -0.267968 0.497022
-191.343043 11.255109 -19.46307
-196.330788 6.75231 -16.526065
-202.325587 3.32766 -10.368152
-190.676092 0.984526 -22.004372
-199.802043 1.618969 -13.768452
-188.288092 0.660628 34.682873
-191.091283 4.45692 32.245146
-186.067035 6.963182 35.537164
-196.234191 5.601176 27.782219
-182.297717 12.520199 36.486451
-188.333516 10.146889 33.207069
-189.779735 18.293906 28.671622
-184.574452 23.675193 28.946245
-183.931928 19.934001 31.930144
-193.92042 21.579571 21.85662
-188.452037 26.228642 22.806805
-193.288416 24.834199 18.665706
-194.5809 26.187927 13.195102
-196.324192 25.089606 10.408299
-187.252612 31.711884 14.181955
-194.228433 27.53898 7.251128
-187.856355 31.863334 11.363554
-188.057609 31.955905 7.593751
-182.260533 35.293657 5.728579
-188.285372 31.548939 3.203839
-182.966218 34.448255 1.152874
-189.606102 29.797819 -1.461313
-185.844026 31.495045 -3.612098
-192.370014 25.493837 -5.651594
-172.701933 35.481069 -11.806888
-183.299808 28.990776 -12.008472
-176.445154 31.590371 -14.607389
-195.64739 18.063483 -10.912993
-184.028757 23.375301 -17.765089
-193.83527 14.244152 -15.650232
-188.594306 17.762117 -18.393715
-183.953355 19.035192 -21.217297
-184.149092 10.623636 -25.333709
-187.376636 12.386005 -22.087837
-187.875279 5.917727 -23.66888
-193.254013 4.681806 -19.694338
-175.533377 2.267232 -32.597071
-182.079881 1.019456 -28.311385
-180.289464 3.006686 39.406971
-183.06686 5.067728 37.644571
-176.710865 8.596737 40.338491
